,Scopus SourceID,Title,CiteScore,Percentile,Citation Count,Scholarly Output,Percent Cited,SNIP,SJR,RANK,Rank Out Of,Publisher,Type,OpenAccess,Scopus ASJC Code (Sub-subject Area),Scopus Sub-Subject Area,Quartile,Top 10% (CiteScore Percentile),Scopus SourceID.1,Print-ISSN,E-ISSN,Subject Area
528,16590.0,The Lancet,8.6,99.0,48837.0,5681.0,46.0,14.802,14.934,4.0,841.0,Elsevier,Journal,NO,2700.0,General Medicine,Quartile 1,Top 10%,https://www.scopus.com/sourceid/16590,01406736,1474547X,Medicine
529,9000153101.0,Foundations and Trends in Human-Computer Interaction,8.6,98.0,86.0,10.0,90.0,4.409,0.741,9.0,535.0,Now Publishers Inc.,Journal,NO,1706.0,Computer Science Applications,Quartile 1,Top 10%,https://www.scopus.com/sourceid/9000153101,15513955,15513963,Computer Science
530,9000153101.0,Foundations and Trends in Human-Computer Interaction,8.6,97.0,86.0,10.0,90.0,4.409,0.741,3.0,87.0,Now Publishers Inc.,Journal,NO,1709.0,Human-Computer Interaction,Quartile 1,Top 10%,https://www.scopus.com/sourceid/9000153101,15513955,15513963,Computer Science
531,21121.0,Proceedings of the National Academy of Sciences of the United States of America,8.59,95.0,103139.0,12007.0,89.0,2.626,6.092,4.0,87.0,National Academy of Sciences,Journal,NO,1000.0,Multidisciplinary,Quartile 1,Top 10%,https://www.scopus.com/sourceid/21121,00278424,10916490,Multidisciplinary
532,144840.0,PLoS Medicine,8.59,99.0,5153.0,600.0,86.0,3.163,5.914,5.0,841.0,Public Library of Science,Journal,YES,2700.0,General Medicine,Quartile 1,Top 10%,https://www.scopus.com/sourceid/144840,15491277,15491676,Medicine
533,19600166310.0,EMBO Molecular Medicine,8.57,96.0,3120.0,364.0,90.0,2.077,5.440,6.0,160.0,Wiley-Blackwell,Journal,YES,1313.0,Molecular Medicine,Quartile 1,Top 10%,https://www.scopus.com/sourceid/19600166310,17574676,17574684,"Biochemistry, Genetics and Molecular Biology"
535,19700200838.0,Chemical Science,8.54,96.0,21169.0,2478.0,95.0,1.666,4.508,13.0,359.0,RSC,Journal,YES,1600.0,General Chemistry,Quartile 1,Top 10%,https://www.scopus.com/sourceid/19700200838,20416520,20416539,Chemistry
555,22951.0,Journal of Marketing,8.37,99.0,1063.0,127.0,93.0,3.975,8.616,3.0,340.0,American Marketing Association,Journal,NO,1403.0,Business and International Management,Quartile 1,Top 10%,https://www.scopus.com/sourceid/22951,00222429,15477185,"Business, Management and Accounting"
556,22951.0,Journal of Marketing,8.37,99.0,1063.0,127.0,93.0,3.975,8.616,1.0,157.0,American Marketing Association,Journal,NO,1406.0,Marketing,Quartile 1,Top 10%,https://www.scopus.com/sourceid/22951,00222429,15477185,"Business, Management and Accounting"
562,21677.0,American Journal of Human Genetics,8.34,96.0,5298.0,635.0,87.0,2.428,7.450,12.0,311.0,Elsevier,Journal,NO,1311.0,Genetics,Quartile 1,Top 10%,https://www.scopus.com/sourceid/21677,00029297,15376605,"Biochemistry, Genetics and Molecular Biology"
563,21677.0,American Journal of Human Genetics,8.34,96.0,5298.0,635.0,87.0,2.428,7.450,4.0,91.0,Elsevier,Journal,NO,2716.0,Genetics(clinical),Quartile 1,Top 10%,https://www.scopus.com/sourceid/21677,00029297,15376605,Medicine
568,19136.0,Annals of the Rheumatic Diseases,8.31,99.0,10641.0,1281.0,85.0,3.488,7.699,1.0,53.0,BMJ,Journal,NO,2745.0,Rheumatology,Quartile 1,Top 10%,https://www.scopus.com/sourceid/19136,00034967,14682060,Medicine
569,19136.0,Annals of the Rheumatic Diseases,8.31,96.0,10641.0,1281.0,85.0,3.488,7.699,7.0,164.0,BMJ,Journal,NO,2723.0,Immunology and Allergy,Quartile 1,Top 10%,https://www.scopus.com/sourceid/19136,00034967,14682060,Medicine
570,19136.0,Annals of the Rheumatic Diseases,8.31,95.0,10641.0,1281.0,85.0,3.488,7.699,8.0,186.0,BMJ,Journal,NO,1300.0,"General Biochemistry, Genetics and Molecular Biology",Quartile 1,Top 10%,https://www.scopus.com/sourceid/19136,00034967,14682060,"Biochemistry, Genetics and Molecular Biology"
571,19136.0,Annals of the Rheumatic Diseases,8.31,94.0,10641.0,1281.0,85.0,3.488,7.699,10.0,189.0,BMJ,Journal,NO,2403.0,Immunology,Quartile 1,Top 10%,https://www.scopus.com/sourceid/19136,00034967,14682060,Immunology and Microbiology
572,21100228547.0,JAMA Psychiatry,8.28,99.0,5947.0,718.0,73.0,4.624,8.097,5.0,487.0,American Medical Association,Journal,NO,2738.0,Psychiatry and Mental health,Quartile 1,Top 10%,https://www.scopus.com/sourceid/21100228547,2168622X,21686238,Medicine
573,28800.0,Annual Review of Environment and Resources,8.27,98.0,521.0,63.0,97.0,2.665,3.345,3.0,193.0,Annual Reviews Inc.,Book Series,NO,2300.0,General Environmental Science,Quartile 1,Top 10%,https://www.scopus.com/sourceid/28800,15435938,15452050,Environmental Science
574,14305.0,Systematic Biology,8.27,98.0,1959.0,237.0,92.0,2.655,5.384,10.0,561.0,Oxford University Press,Journal,NO,1105.0,"Ecology, Evolution, Behavior and Systematics",Quartile 1,Top 10%,https://www.scopus.com/sourceid/14305,10635157,1076836X,Agricultural and Biological Sciences
575,14305.0,Systematic Biology,8.27,95.0,1959.0,237.0,92.0,2.655,5.384,13.0,311.0,Oxford University Press,Journal,NO,1311.0,Genetics,Quartile 1,Top 10%,https://www.scopus.com/sourceid/14305,10635157,1076836X,"Biochemistry, Genetics and Molecular Biology"
576,19400156815.0,Annual Review of Analytical Chemistry,8.26,99.0,570.0,69.0,93.0,2.039,2.796,1.0,104.0,Annual Reviews Inc.,Journal,NO,1602.0,Analytical Chemistry,Quartile 1,Top 10%,https://www.scopus.com/sourceid/19400156815,19361327,19361335,Chemistry
578,13140.0,Epidemiologic Reviews,8.19,94.0,295.0,36.0,94.0,3.624,4.505,5.0,87.0,Oxford University Press,Journal,NO,2713.0,Epidemiology,Quartile 1,Top 10%,https://www.scopus.com/sourceid/13140,0193936X,14786729,Medicine
579,21100204914.0,"Journal of Cachexia, Sarcopenia and Muscle",8.18,99.0,1252.0,153.0,93.0,1.360,1.432,1.0,237.0,Wiley-Blackwell,Journal,YES,2732.0,Orthopedics and Sports Medicine,Quartile 1,Top 10%,https://www.scopus.com/sourceid/21100204914,21905991,21906009,Medicine
580,21100204914.0,"Journal of Cachexia, Sarcopenia and Muscle",8.18,97.0,1252.0,153.0,93.0,1.360,1.432,3.0,97.0,Wiley-Blackwell,Journal,YES,2737.0,Physiology (medical),Quartile 1,Top 10%,https://www.scopus.com/sourceid/21100204914,21905991,21906009,Medicine
581,21100284918.0,Earth System Science Data,8.18,99.0,810.0,99.0,78.0,2.620,4.885,2.0,182.0,Copernicus,Journal,YES,1900.0,General Earth and Planetary Sciences,Quartile 1,Top 10%,https://www.scopus.com/sourceid/21100284918,18663508,18663516,Earth and Planetary Sciences
582,25297.0,Journal of Hepatology,8.17,97.0,11558.0,1414.0,74.0,3.185,5.633,2.0,58.0,Elsevier,Journal,NO,2721.0,Hepatology,Quartile 1,Top 10%,https://www.scopus.com/sourceid/25297,01688278,16000641,Medicine
585,19700171101.0,ACS applied materials & interfaces,8.15,95.0,83452.0,10244.0,95.0,1.543,2.784,22.0,434.0,American Chemical Society,Journal,NO,2500.0,General Materials Science,Quartile 1,Top 10%,https://www.scopus.com/sourceid/19700171101,19448244,19448252,Materials Science
589,19700174677.0,Science Translational Medicine,8.07,99.0,12546.0,1555.0,52.0,3.290,9.700,6.0,841.0,American Association for the Advancement of Science,Journal,NO,2700.0,General Medicine,Quartile 1,Top 10%,https://www.scopus.com/sourceid/19700174677,19466234,19466242,Medicine
599,26927.0,International Reviews in Physical Chemistry,8.04,96.0,386.0,48.0,96.0,2.506,3.271,6.0,151.0,Taylor & Francis,Journal,NO,1606.0,Physical and Theoretical Chemistry,Quartile 1,Top 10%,https://www.scopus.com/sourceid/26927,0144235X,1366591X,Chemistry
603,21359.0,Seminars in Immunology,8.01,95.0,1458.0,182.0,91.0,1.948,4.509,8.0,164.0,Elsevier,Journal,NO,2723.0,Immunology and Allergy,Quartile 1,Top 10%,https://www.scopus.com/sourceid/21359,10445323,10963618,Medicine
604,21359.0,Seminars in Immunology,8.01,94.0,1458.0,182.0,91.0,1.948,4.509,11.0,189.0,Elsevier,Journal,NO,2403.0,Immunology,Quartile 1,Top 10%,https://www.scopus.com/sourceid/21359,10445323,10963618,Immunology and Microbiology
616,16339.0,Metabolic Engineering,7.95,98.0,2678.0,337.0,98.0,1.787,3.337,2.0,93.0,Elsevier,Journal,NO,2402.0,Applied Microbiology and Biotechnology,Quartile 1,Top 10%,https://www.scopus.com/sourceid/16339,10967176,10967184,Immunology and Microbiology
617,16339.0,Metabolic Engineering,7.95,96.0,2678.0,337.0,98.0,1.787,3.337,9.0,246.0,Elsevier,Journal,NO,1305.0,Biotechnology,Quartile 1,Top 10%,https://www.scopus.com/sourceid/16339,10967176,10967184,"Biochemistry, Genetics and Molecular Biology"
618,16339.0,Metabolic Engineering,7.95,92.0,2678.0,337.0,98.0,1.787,3.337,10.0,128.0,Elsevier,Journal,NO,1502.0,Bioengineering,Quartile 1,Top 10%,https://www.scopus.com/sourceid/16339,10967176,10967184,Chemical Engineering
619,21928.0,Fish and Fisheries,7.94,99.0,985.0,124.0,94.0,3.156,3.615,1.0,199.0,Wiley-Blackwell,Journal,NO,1104.0,Aquatic Science,Quartile 1,Top 10%,https://www.scopus.com/sourceid/21928,14672960,14672979,Agricultural and Biological Sciences
620,21928.0,Fish and Fisheries,7.94,99.0,985.0,124.0,94.0,3.156,3.615,3.0,261.0,Wiley-Blackwell,Journal,NO,2308.0,"Management, Monitoring, Policy and Law",Quartile 1,Top 10%,https://www.scopus.com/sourceid/21928,14672960,14672979,Environmental Science
621,21928.0,Fish and Fisheries,7.94,98.0,985.0,124.0,94.0,3.156,3.615,2.0,115.0,Wiley-Blackwell,Journal,NO,1910.0,Oceanography,Quartile 1,Top 10%,https://www.scopus.com/sourceid/21928,14672960,14672979,Earth and Planetary Sciences
622,21928.0,Fish and Fisheries,7.94,98.0,985.0,124.0,94.0,3.156,3.615,11.0,561.0,Wiley-Blackwell,Journal,NO,1105.0,"Ecology, Evolution, Behavior and Systematics",Quartile 1,Top 10%,https://www.scopus.com/sourceid/21928,14672960,14672979,Agricultural and Biological Sciences
628,17945.0,Bioinformatics,7.84,98.0,18502.0,2360.0,80.0,2.520,6.140,3.0,187.0,Oxford University Press,Journal,NO,2613.0,Statistics and Probability,Quartile 1,Top 10%,https://www.scopus.com/sourceid/17945,13674803,13674811,Mathematics
629,17945.0,Bioinformatics,7.84,98.0,18502.0,2360.0,80.0,2.520,6.140,2.0,125.0,Oxford University Press,Journal,NO,2605.0,Computational Mathematics,Quartile 1,Top 10%,https://www.scopus.com/sourceid/17945,13674803,13674811,Mathematics
630,17945.0,Bioinformatics,7.84,97.0,18502.0,2360.0,80.0,2.520,6.140,11.0,398.0,Oxford University Press,Journal,NO,1303.0,Biochemistry,Quartile 1,Top 10%,https://www.scopus.com/sourceid/17945,13674803,13674811,"Biochemistry, Genetics and Molecular Biology"
631,17945.0,Bioinformatics,7.84,97.0,18502.0,2360.0,80.0,2.520,6.140,12.0,535.0,Oxford University Press,Journal,NO,1706.0,Computer Science Applications,Quartile 1,Top 10%,https://www.scopus.com/sourceid/17945,13674803,13674811,Computer Science
632,17945.0,Bioinformatics,7.84,95.0,18502.0,2360.0,80.0,2.520,6.140,17.0,367.0,Oxford University Press,Journal,NO,1312.0,Molecular Biology,Quartile 1,Top 10%,https://www.scopus.com/sourceid/17945,13674803,13674811,"Biochemistry, Genetics and Molecular Biology"
633,17945.0,Bioinformatics,7.84,95.0,18502.0,2360.0,80.0,2.520,6.140,5.0,107.0,Oxford University Press,Journal,NO,1703.0,Computational Theory and Mathematics,Quartile 1,Top 10%,https://www.scopus.com/sourceid/17945,13674803,13674811,Computer Science
650,17500155020.0,Nano Research,7.8,97.0,6931.0,889.0,94.0,1.394,3.064,15.0,644.0,Tsinghua University Press,Journal,NO,2208.0,Electrical and Electronic Engineering,Quartile 1,Top 10%,https://www.scopus.com/sourceid/17500155020,19980124,19980000,Engineering
651,17500155020.0,Nano Research,7.8,94.0,6931.0,889.0,94.0,1.394,3.064,23.0,434.0,Tsinghua University Press,Journal,NO,2500.0,General Materials Science,Quartile 1,Top 10%,https://www.scopus.com/sourceid/17500155020,19980124,19980000,Materials Science
652,110092.0,Morbidity and Mortality Weekly Report,7.78,98.0,8033.0,1032.0,72.0,4.251,9.323,3.0,241.0,US Department of Health and Human Services,Journal,YES,3306.0,Health(social science),Quartile 1,Top 10%,https://www.scopus.com/sourceid/110092,01492195,1545861X,Social Sciences
653,110092.0,Morbidity and Mortality Weekly Report,7.78,96.0,8033.0,1032.0,72.0,4.251,9.323,4.0,106.0,US Department of Health and Human Services,Journal,YES,2307.0,"Health, Toxicology and Mutagenesis",Quartile 1,Top 10%,https://www.scopus.com/sourceid/110092,01492195,1545861X,Environmental Science
654,110092.0,Morbidity and Mortality Weekly Report,7.78,93.0,8033.0,1032.0,72.0,4.251,9.323,6.0,87.0,US Department of Health and Human Services,Journal,YES,2713.0,Epidemiology,Quartile 1,Top 10%,https://www.scopus.com/sourceid/110092,01492195,1545861X,Medicine
669,12216.0,Molecular Biology and Evolution,7.65,97.0,7003.0,916.0,82.0,1.626,5.475,12.0,561.0,Oxford University Press,Journal,NO,1105.0,"Ecology, Evolution, Behavior and Systematics",Quartile 1,Top 10%,https://www.scopus.com/sourceid/12216,07374038,15371719,Agricultural and Biological Sciences
670,12216.0,Molecular Biology and Evolution,7.65,95.0,7003.0,916.0,82.0,1.626,5.475,18.0,367.0,Oxford University Press,Journal,NO,1312.0,Molecular Biology,Quartile 1,Top 10%,https://www.scopus.com/sourceid/12216,07374038,15371719,"Biochemistry, Genetics and Molecular Biology"
671,12216.0,Molecular Biology and Evolution,7.65,95.0,7003.0,916.0,82.0,1.626,5.475,15.0,311.0,Oxford University Press,Journal,NO,1311.0,Genetics,Quartile 1,Top 10%,https://www.scopus.com/sourceid/12216,07374038,15371719,"Biochemistry, Genetics and Molecular Biology"
676,14179.0,Annals of Neurology,7.62,98.0,5544.0,728.0,78.0,2.641,5.706,3.0,142.0,Wiley-Blackwell,Journal,NO,2808.0,Neurology,Quartile 1,Top 10%,https://www.scopus.com/sourceid/14179,03645134,15318249,Neuroscience
677,14179.0,Annals of Neurology,7.62,98.0,5544.0,728.0,78.0,2.641,5.706,5.0,336.0,Wiley-Blackwell,Journal,NO,2728.0,Clinical Neurology,Quartile 1,Top 10%,https://www.scopus.com/sourceid/14179,03645134,15318249,Medicine
678,15163.0,Applied Mechanics Reviews,7.62,98.0,549.0,72.0,75.0,4.305,2.451,7.0,554.0,ASME,Journal,NO,2210.0,Mechanical Engineering,Quartile 1,Top 10%,https://www.scopus.com/sourceid/15163,00036900,10888535,Engineering
679,12229.0,Mass Spectrometry Reviews,7.59,97.0,653.0,86.0,92.0,2.278,2.293,3.0,104.0,Wiley-Blackwell,Journal,NO,1602.0,Analytical Chemistry,Quartile 1,Top 10%,https://www.scopus.com/sourceid/12229,02777037,10982787,Chemistry
680,12229.0,Mass Spectrometry Reviews,7.59,97.0,653.0,86.0,92.0,2.278,2.293,2.0,69.0,Wiley-Blackwell,Journal,NO,1607.0,Spectroscopy,Quartile 1,Top 10%,https://www.scopus.com/sourceid/12229,02777037,10982787,Chemistry
681,12229.0,Mass Spectrometry Reviews,7.59,96.0,653.0,86.0,92.0,2.278,2.293,13.0,393.0,Wiley-Blackwell,Journal,NO,3104.0,Condensed Matter Physics,Quartile 1,Top 10%,https://www.scopus.com/sourceid/12229,02777037,10982787,Physics and Astronomy
682,12229.0,Mass Spectrometry Reviews,7.59,94.0,653.0,86.0,92.0,2.278,2.293,11.0,186.0,Wiley-Blackwell,Journal,NO,1300.0,"General Biochemistry, Genetics and Molecular Biology",Quartile 1,Top 10%,https://www.scopus.com/sourceid/12229,02777037,10982787,"Biochemistry, Genetics and Molecular Biology"
686,29150.0,Physical Review Letters,7.58,95.0,60591.0,7992.0,91.0,2.464,3.622,10.0,202.0,American Physical Society,Journal,NO,3100.0,General Physics and Astronomy,Quartile 1,Top 10%,https://www.scopus.com/sourceid/29150,00319007,10797114,Physics and Astronomy
688,21100843337.0,SOIL,7.57,99.0,765.0,101.0,85.0,2.708,2.150,1.0,113.0,Copernicus,Journal,NO,1111.0,Soil Science,Quartile 1,Top 10%,https://www.scopus.com/sourceid/21100843337,21993971,2199398X,Agricultural and Biological Sciences
695,17435.0,EMBO Journal,7.53,94.0,5605.0,744.0,79.0,1.622,7.058,7.0,111.0,Wiley-Blackwell,Journal,NO,2800.0,General Neuroscience,Quartile 1,Top 10%,https://www.scopus.com/sourceid/17435,02614189,14602075,Neuroscience
696,17435.0,EMBO Journal,7.53,94.0,5605.0,744.0,79.0,1.622,7.058,19.0,367.0,Wiley-Blackwell,Journal,NO,1312.0,Molecular Biology,Quartile 1,Top 10%,https://www.scopus.com/sourceid/17435,02614189,14602075,"Biochemistry, Genetics and Molecular Biology"
697,17435.0,EMBO Journal,7.53,93.0,5605.0,744.0,79.0,1.622,7.058,12.0,186.0,Wiley-Blackwell,Journal,NO,1300.0,"General Biochemistry, Genetics and Molecular Biology",Quartile 1,Top 10%,https://www.scopus.com/sourceid/17435,02614189,14602075,"Biochemistry, Genetics and Molecular Biology"
699,17600155130.0,NCHS data brief,7.53,99.0,949.0,126.0,83.0,-,7.117,7.0,841.0,U.S. National Center for Health Statistics,Journal,NO,2700.0,General Medicine,Quartile 1,Top 10%,https://www.scopus.com/sourceid/17600155130,19414935,19414927,Medicine
700,21268.0,Journal of Autoimmunity,7.48,94.0,2573.0,344.0,94.0,2.127,2.046,9.0,164.0,Elsevier,Journal,NO,2723.0,Immunology and Allergy,Quartile 1,Top 10%,https://www.scopus.com/sourceid/21268,08968411,10959157,Medicine
701,21268.0,Journal of Autoimmunity,7.48,93.0,2573.0,344.0,94.0,2.127,2.046,13.0,189.0,Elsevier,Journal,NO,2403.0,Immunology,Quartile 1,Top 10%,https://www.scopus.com/sourceid/21268,08968411,10959157,Immunology and Microbiology
709,14317.0,Brain,7.43,98.0,8488.0,1143.0,78.0,2.788,5.858,6.0,336.0,Oxford University Press,Journal,NO,2728.0,Clinical Neurology,Quartile 1,Top 10%,https://www.scopus.com/sourceid/14317,00068950,14602156,Medicine
716,16594.0,Plant Cell,7.33,99.0,6360.0,868.0,84.0,2.038,5.597,4.0,389.0,American Society of Plant Biologists,Journal,NO,1110.0,Plant Science,Quartile 1,Top 10%,https://www.scopus.com/sourceid/16594,10404651,1532298X,Agricultural and Biological Sciences
717,16594.0,Plant Cell,7.33,92.0,6360.0,868.0,84.0,2.038,5.597,19.0,264.0,American Society of Plant Biologists,Journal,NO,1307.0,Cell Biology,Quartile 1,Top 10%,https://www.scopus.com/sourceid/16594,10404651,1532298X,"Biochemistry, Genetics and Molecular Biology"
721,24392.0,Journal of International Business Studies,7.27,99.0,1236.0,170.0,95.0,3.260,5.198,3.0,564.0,Springer Nature,Journal,NO,2002.0,Economics and Econometrics,Quartile 1,Top 10%,https://www.scopus.com/sourceid/24392,00472506,14786990,"Economics, Econometrics and Finance"
722,24392.0,Journal of International Business Studies,7.27,99.0,1236.0,170.0,95.0,3.260,5.198,4.0,370.0,Springer Nature,Journal,NO,1408.0,Strategy and Management,Quartile 1,Top 10%,https://www.scopus.com/sourceid/24392,00472506,14786990,"Business, Management and Accounting"
723,24392.0,Journal of International Business Studies,7.27,98.0,1236.0,170.0,95.0,3.260,5.198,5.0,340.0,Springer Nature,Journal,NO,1403.0,Business and International Management,Quartile 1,Top 10%,https://www.scopus.com/sourceid/24392,00472506,14786990,"Business, Management and Accounting"
724,24392.0,Journal of International Business Studies,7.27,98.0,1236.0,170.0,95.0,3.260,5.198,3.0,195.0,Springer Nature,Journal,NO,1400.0,"General Business, Management and Accounting",Quartile 1,Top 10%,https://www.scopus.com/sourceid/24392,00472506,14786990,"Business, Management and Accounting"
725,24392.0,Journal of International Business Studies,7.27,97.0,1236.0,170.0,95.0,3.260,5.198,4.0,169.0,Springer Nature,Journal,NO,1405.0,Management of Technology and Innovation,Quartile 1,Top 10%,https://www.scopus.com/sourceid/24392,00472506,14786990,"Business, Management and Accounting"
726,26769.0,"Astrophysical Journal, Supplement Series",7.26,95.0,4176.0,575.0,85.0,2.294,4.660,4.0,70.0,Institute of Physics Publishing,Journal,NO,3103.0,Astronomy and Astrophysics,Quartile 1,Top 10%,https://www.scopus.com/sourceid/26769,00670049,15384365,Physics and Astronomy
727,26769.0,"Astrophysical Journal, Supplement Series",7.26,95.0,4176.0,575.0,85.0,2.294,4.660,4.0,80.0,Institute of Physics Publishing,Journal,NO,1912.0,Space and Planetary Science,Quartile 1,Top 10%,https://www.scopus.com/sourceid/26769,00670049,15384365,Earth and Planetary Sciences
732,25454.0,Blood,7.24,97.0,27003.0,3729.0,72.0,2.690,6.434,12.0,398.0,American Society of Hematology,Journal,NO,1303.0,Biochemistry,Quartile 1,Top 10%,https://www.scopus.com/sourceid/25454,00064971,15280020,"Biochemistry, Genetics and Molecular Biology"
733,25454.0,Blood,7.24,97.0,27003.0,3729.0,72.0,2.690,6.434,3.0,120.0,American Society of Hematology,Journal,NO,2720.0,Hematology,Quartile 1,Top 10%,https://www.scopus.com/sourceid/25454,00064971,15280020,Medicine
734,25454.0,Blood,7.24,92.0,27003.0,3729.0,72.0,2.690,6.434,15.0,189.0,American Society of Hematology,Journal,NO,2403.0,Immunology,Quartile 1,Top 10%,https://www.scopus.com/sourceid/25454,00064971,15280020,Immunology and Microbiology
735,25454.0,Blood,7.24,92.0,27003.0,3729.0,72.0,2.690,6.434,20.0,264.0,American Society of Hematology,Journal,NO,1307.0,Cell Biology,Quartile 1,Top 10%,https://www.scopus.com/sourceid/25454,00064971,15280020,"Biochemistry, Genetics and Molecular Biology"
740,11600154092.0,Current Protocols in Bioinformatics,7.23,96.0,441.0,61.0,66.0,2.597,4.594,13.0,398.0,Wiley-Blackwell,Journal,NO,1303.0,Biochemistry,Quartile 1,Top 10%,https://www.scopus.com/sourceid/11600154092,19343396,1934340X,"Biochemistry, Genetics and Molecular Biology"
741,11600154092.0,Current Protocols in Bioinformatics,7.23,92.0,441.0,61.0,66.0,2.597,4.594,4.0,48.0,Wiley-Blackwell,Journal,NO,1315.0,Structural Biology,Quartile 1,Top 10%,https://www.scopus.com/sourceid/11600154092,19343396,1934340X,"Biochemistry, Genetics and Molecular Biology"
742,21100788876.0,Chem,7.23,99.0,672.0,93.0,70.0,2.272,5.295,1.0,50.0,Elsevier,Journal,NO,2704.0,"Biochemistry, medical",Quartile 1,Top 10%,https://www.scopus.com/sourceid/21100788876,24519308,24519294,Medicine
743,21100788876.0,Chem,7.23,98.0,672.0,93.0,70.0,2.272,5.295,5.0,272.0,Elsevier,Journal,NO,1500.0,General Chemical Engineering,Quartile 1,Top 10%,https://www.scopus.com/sourceid/21100788876,24519308,24519294,Chemical Engineering
744,21100788876.0,Chem,7.23,97.0,672.0,93.0,70.0,2.272,5.295,8.0,255.0,Elsevier,Journal,NO,2505.0,Materials Chemistry,Quartile 1,Top 10%,https://www.scopus.com/sourceid/21100788876,24519308,24519294,Materials Science
745,21100788876.0,Chem,7.23,96.0,672.0,93.0,70.0,2.272,5.295,14.0,359.0,Elsevier,Journal,NO,1600.0,General Chemistry,Quartile 1,Top 10%,https://www.scopus.com/sourceid/21100788876,24519308,24519294,Chemistry
746,21100788876.0,Chem,7.23,96.0,672.0,93.0,70.0,2.272,5.295,13.0,398.0,Elsevier,Journal,NO,1303.0,Biochemistry,Quartile 1,Top 10%,https://www.scopus.com/sourceid/21100788876,24519308,24519294,"Biochemistry, Genetics and Molecular Biology"
747,21100788876.0,Chem,7.23,96.0,672.0,93.0,70.0,2.272,5.295,4.0,97.0,Elsevier,Journal,NO,2304.0,Environmental Chemistry,Quartile 1,Top 10%,https://www.scopus.com/sourceid/21100788876,24519308,24519294,Environmental Science
757,19370.0,Journal of the American Society of Nephrology : JASN,7.16,99.0,7386.0,1032.0,88.0,2.381,4.819,1.0,59.0,American Society of Nephrology,Journal,NO,2727.0,Nephrology,Quartile 1,Top 10%,https://www.scopus.com/sourceid/19370,10466673,15333450,Medicine
763,21100442376.0,Sustainable Materials and Technologies,7.14,99.0,200.0,28.0,79.0,3.567,1.548,3.0,316.0,Elsevier,Journal,NO,2209.0,Industrial and Manufacturing Engineering,Quartile 1,Top 10%,https://www.scopus.com/sourceid/21100442376,22149929,22149937,Engineering
764,21100442376.0,Sustainable Materials and Technologies,7.14,97.0,200.0,28.0,79.0,3.567,1.548,3.0,85.0,Elsevier,Journal,NO,2311.0,Waste Management and Disposal,Quartile 1,Top 10%,https://www.scopus.com/sourceid/21100442376,22149929,22149937,Environmental Science
765,21100442376.0,Sustainable Materials and Technologies,7.14,93.0,200.0,28.0,79.0,3.567,1.548,10.0,140.0,Elsevier,Journal,NO,2105.0,"Renewable Energy, Sustainability and the Environment",Quartile 1,Top 10%,https://www.scopus.com/sourceid/21100442376,22149929,22149937,Energy
766,21100442376.0,Sustainable Materials and Technologies,7.14,93.0,200.0,28.0,79.0,3.567,1.548,27.0,434.0,Elsevier,Journal,NO,2500.0,General Materials Science,Quartile 1,Top 10%,https://www.scopus.com/sourceid/21100442376,22149929,22149937,Materials Science
767,21100853506.0,Ultrasonography,7.14,99.0,100.0,14.0,86.0,2.795,1.756,2.0,270.0,Korean Society of Ultrasound in Medicine,Journal,NO,2741.0,Radiology Nuclear Medicine and imaging,Quartile 1,Top 10%,https://www.scopus.com/sourceid/21100853506,22885919,22885943,Medicine
772,21100197181.0,NPG Asia Materials,7.12,99.0,1602.0,225.0,83.0,1.666,3.315,2.0,238.0,Springer Nature,Journal,YES,2611.0,Modelling and Simulation,Quartile 1,Top 10%,https://www.scopus.com/sourceid/21100197181,18844049,18844057,Mathematics
773,21100197181.0,NPG Asia Materials,7.12,96.0,1602.0,225.0,83.0,1.666,3.315,14.0,393.0,Springer Nature,Journal,YES,3104.0,Condensed Matter Physics,Quartile 1,Top 10%,https://www.scopus.com/sourceid/21100197181,18844049,18844057,Physics and Astronomy
774,21100197181.0,NPG Asia Materials,7.12,93.0,1602.0,225.0,83.0,1.666,3.315,28.0,434.0,Springer Nature,Journal,YES,2500.0,General Materials Science,Quartile 1,Top 10%,https://www.scopus.com/sourceid/21100197181,18844049,18844057,Materials Science
775,19700188418.0,Annual Review of Chemical and Biomolecular Engineering,7.12,97.0,513.0,72.0,94.0,2.045,2.640,6.0,272.0,Annual Reviews Inc.,Journal,NO,1500.0,General Chemical Engineering,Quartile 1,Top 10%,https://www.scopus.com/sourceid/19700188418,19475438,19475446,Chemical Engineering
776,19700188418.0,Annual Review of Chemical and Biomolecular Engineering,7.12,95.0,513.0,72.0,94.0,2.045,2.640,15.0,359.0,Annual Reviews Inc.,Journal,NO,1600.0,General Chemistry,Quartile 1,Top 10%,https://www.scopus.com/sourceid/19700188418,19475438,19475446,Chemistry
777,22913.0,Periodontology 2000,7.1,95.0,859.0,121.0,98.0,2.631,2.887,1.0,11.0,Wiley-Blackwell,Journal,NO,3506.0,Periodontics,Quartile 1,Top 10%,https://www.scopus.com/sourceid/22913,09066713,16000757,Dentistry
781,9500153997.0,Polymer Reviews,7.08,98.0,425.0,60.0,95.0,2.372,1.787,2.0,142.0,Taylor & Francis,Journal,NO,2507.0,Polymers and Plastics,Quartile 1,Top 10%,https://www.scopus.com/sourceid/9500153997,15583724,15583716,Materials Science
